episode,episode_reward,episode_length,policy_loss,entropy
1,-27.3,67,-701.3645629882812,0.5949978828430176
2,-8.299999999999999,78,-464.369873046875,1.0157697200775146
3,-19.0,63,-582.5874633789062,0.8431494235992432
4,-19.8,66,-214.08119201660156,0.2301819771528244
5,-22.4,68,-12.036423683166504,0.06823522597551346
6,-22.7,69,-10.06917667388916,0.05253982171416283
7,-21.2,64,-5.8406453132629395,0.0377686582505703
8,-18.3,58,-176.076171875,0.17094239592552185
9,-19.4,66,-141.7423553466797,0.14234210550785065
10,-15.1,63,-128.49301147460938,0.18644890189170837
11,-16.2,63,-160.46688842773438,0.09186593443155289
12,-22.099999999999998,69,-72.38146209716797,0.11651669442653656
13,-18.8,56,-16.683595657348633,0.10486280918121338
14,-20.3,66,-178.24566650390625,0.14676770567893982
15,-22.3,63,-209.58291625976562,0.22240228950977325
16,-16.7,57,-70.0671615600586,0.13953615725040436
17,-17.7,56,-101.61270904541016,0.10177593678236008
18,-10.5,62,-111.61132049560547,0.1958598494529724
19,-20.0,68,-135.82449340820312,0.10463748127222061
20,-12.5,61,-94.78545379638672,0.13084276020526886
21,-20.0,60,-6.897042751312256,0.032776761800050735
22,-18.7,60,-50.32655334472656,0.05044039711356163
23,-19.8,63,-110.06678771972656,0.04726782068610191
24,-19.099999999999998,57,-2.8721702098846436,0.017666589468717575
25,-18.2,54,-1.538469672203064,0.01143219880759716
26,-19.099999999999998,57,-4.701530933380127,0.023764608427882195
27,-19.2,66,-43.83541488647461,0.06853262335062027
28,-15.2,57,-57.09465408325195,0.08288491517305374
29,-16.099999999999998,60,-63.35783386230469,0.10360804945230484
30,-10.5,63,-99.96771240234375,0.1369892954826355
31,-14.2,54,-126.41568756103516,0.17948998510837555
32,-5.199999999999999,64,-136.8052978515625,0.13795627653598785
33,0.10000000000000081,72,-88.31700134277344,0.11721137911081314
34,-1.6999999999999993,66,-87.73322296142578,0.14012520015239716
35,-0.3999999999999993,63,-76.61981964111328,0.1381816565990448
36,-13.399999999999999,54,-91.25269317626953,0.157720685005188
37,-7.699999999999999,58,-86.11006164550781,0.13856039941310883
38,-0.4999999999999993,64,-65.71347045898438,0.11630972474813461
39,-1.5999999999999992,62,-57.04877853393555,0.14488008618354797
40,4.6000000000000005,66,-52.167911529541016,0.12981079518795013
41,-1.3999999999999995,63,-164.9229736328125,0.14514243602752686
42,2.6000000000000005,66,-55.13881301879883,0.14081650972366333
43,2.3000000000000007,65,-65.8421630859375,0.1239350214600563
44,3.400000000000001,66,-97.55003356933594,0.13536076247692108
45,-10.7,58,-45.07601547241211,0.156452938914299
46,-8.4,60,-74.11231994628906,0.19493885338306427
47,-0.29999999999999943,64,-68.77558898925781,0.17451435327529907
48,-12.799999999999999,57,-37.54822540283203,0.1707146316766739
49,-16.5,54,-162.34091186523438,0.2065238654613495
50,-4.8,61,-63.7987174987793,0.13923567533493042
51,-7.1,60,-47.78459167480469,0.16041415929794312
52,-6.6,60,-131.4019775390625,0.16481854021549225
53,-3.3999999999999995,61,-149.32521057128906,0.1304999440908432
54,1.9000000000000008,64,-58.85438919067383,0.12986737489700317
55,-8.1,58,-85.32440185546875,0.15796785056591034
56,-4.299999999999999,60,-69.59583282470703,0.1456097513437271
57,-6.499999999999999,71,-77.99795532226562,0.1336808204650879
58,-10.299999999999999,62,-156.3804473876953,0.11193403601646423
59,-11.2,61,-70.1652603149414,0.13418620824813843
60,-16.0,66,-84.68684387207031,0.14010222256183624
61,-9.2,63,-78.32933044433594,0.12891943752765656
62,-12.0,57,-71.11097717285156,0.15928052365779877
63,-18.599999999999998,68,-122.60787200927734,0.1817362755537033
64,-18.2,57,-181.09161376953125,0.2451745867729187
65,-21.599999999999998,60,-160.74888610839844,0.2371571809053421
66,-21.099999999999998,71,-309.3849182128906,0.2392241209745407
67,-34.9,79,-296.7569274902344,0.22658637166023254
68,-34.9,72,-132.0883026123047,0.2247413843870163
69,-40.3,83,-273.8892822265625,0.21711739897727966
70,-39.4,83,-377.2262268066406,0.25758662819862366
71,-38.7,80,-439.7061767578125,0.2575947642326355
72,-14.6,75,-439.4934387207031,0.34255731105804443
73,-17.3,63,-232.64488220214844,0.27579256892204285
74,-18.099999999999998,78,-397.2752990722656,0.33552804589271545
75,-0.9999999999999992,77,-186.85536193847656,0.3117225468158722
76,0.600000000000001,80,-236.995849609375,0.29117757081985474
77,-3.7999999999999994,69,-111.03179931640625,0.21872606873512268
78,-4.499999999999999,76,-155.51718139648438,0.21473492681980133
79,-3.399999999999999,79,-262.82489013671875,0.2006651908159256
80,-0.8999999999999992,71,-96.94931030273438,0.20920780301094055
81,-8.299999999999999,76,-117.04100799560547,0.18528330326080322
82,-15.2,72,-248.68492126464844,0.23475712537765503
83,-13.2,65,-128.5684814453125,0.19025678932666779
84,-16.099999999999998,68,-169.73695373535156,0.20844632387161255
85,-23.2,72,-222.6549835205078,0.18503862619400024
86,-25.5,69,-205.2039337158203,0.13744057714939117
87,-23.5,69,-104.50725555419922,0.132514089345932
88,-17.099999999999998,63,-146.29672241210938,0.12311059981584549
89,-22.099999999999998,69,-83.69464111328125,0.08546686917543411
90,-18.2,67,-73.19195556640625,0.09495586901903152
91,-19.8,70,-158.78565979003906,0.06235510855913162
92,-16.0,64,-46.92219161987305,0.08780693262815475
93,-17.099999999999998,59,-58.827789306640625,0.057677336037158966
94,-20.599999999999998,62,-3.9854462146759033,0.020798303186893463
95,-18.8,56,-3.020071029663086,0.018838590011000633
96,-22.7,69,-13.178571701049805,0.040355585515499115
97,-20.3,61,-8.15729808807373,0.0359584242105484
98,-23.099999999999998,68,-73.45698547363281,0.056156307458877563
99,-21.099999999999998,59,-63.406158447265625,0.1104014664888382
100,-24.7,64,-185.9263458251953,0.09861767292022705
101,-18.599999999999998,66,-93.68682861328125,0.12067808955907822
102,-18.3,65,-78.30094146728516,0.13137979805469513
103,-17.5,60,-155.0782928466797,0.17651423811912537
104,-15.7,67,-132.5814666748047,0.17739571630954742
105,-16.3,62,-178.28648376464844,0.2226022332906723
106,-14.6,72,-219.39923095703125,0.20081882178783417
107,-8.5,61,-112.38359069824219,0.19277788698673248
108,-13.799999999999999,72,-166.67918395996094,0.2242995649576187
109,-8.2,65,-114.37016296386719,0.16747279465198517
110,-7.599999999999999,66,-160.41993713378906,0.16562458872795105
111,-0.4999999999999991,81,-160.95555114746094,0.11069169640541077
112,-0.7999999999999992,75,-114.76447296142578,0.13284531235694885
113,-5.699999999999999,60,-47.061336517333984,0.09424784034490585
114,-1.8999999999999992,63,-95.89726257324219,0.0890187919139862
115,-4.999999999999999,60,-44.2977294921875,0.09957411140203476
116,-10.1,59,-101.8758773803711,0.10919681936502457
117,-5.999999999999999,60,-101.35742950439453,0.11604856699705124
118,-4.3999999999999995,62,-45.54533386230469,0.12932069599628448
119,-9.299999999999999,60,-80.04322052001953,0.145094633102417
120,-10.5,60,-51.362403869628906,0.1627819985151291
121,-21.5,54,-1.8029335737228394,0.03348546847701073
122,4.8,71,-63.145286560058594,0.19082388281822205
123,-19.5,56,-0.24297404289245605,0.006425036583095789
124,-14.7,59,-0.5973188877105713,0.013434981927275658
125,-19.5,56,-0.012166709639132023,0.0004823044000659138
126,-13.5,60,-9.165812492370605,0.04120852053165436
127,-18.5,57,-2.028214693069458,0.03428344801068306
128,-7.1,63,-26.06536865234375,0.0694570317864418
129,-4.1,64,-99.09415435791016,0.16256733238697052
130,-13.7,60,-3.792858123779297,0.0503428690135479
131,-0.6999999999999997,68,-12.212724685668945,0.08702387660741806
132,-19.3,56,-12.849210739135742,0.05795641988515854
133,-8.4,63,-26.311254501342773,0.13383671641349792
134,-1.2999999999999996,66,-39.92794418334961,0.14225904643535614
135,-1.6999999999999997,66,-36.25407028198242,0.11543447524309158
136,-9.4,60,-53.08038330078125,0.17055310308933258
137,-11.2,60,-31.85706329345703,0.11706063896417618
138,-2.0999999999999996,64,-55.05513381958008,0.14089062809944153
139,-5.6,63,-75.76717376708984,0.12302421033382416
140,-16.5,56,-23.142589569091797,0.11149022728204727
141,1.0000000000000004,66,-42.82208251953125,0.08482088893651962
142,0.5000000000000006,65,-49.291099548339844,0.09521321952342987
143,-13.2,57,-21.532184600830078,0.10141224414110184
144,3.5000000000000004,66,-57.77931213378906,0.0842227041721344
145,2.2000000000000006,66,-40.675846099853516,0.08718711882829666
146,-6.3999999999999995,60,-24.84665870666504,0.0949312224984169
147,-9.1,59,-56.74849319458008,0.10428628325462341
148,-7.699999999999999,60,-37.80202865600586,0.10776340216398239
149,6.500000000000001,69,-77.90787506103516,0.08507108688354492
150,-3.4999999999999996,61,-132.50369262695312,0.148213729262352
151,-6.6,60,-36.049339294433594,0.11128035932779312
152,-3.9999999999999996,62,-39.03327941894531,0.10068336129188538
153,-1.2999999999999994,64,-38.08243179321289,0.11855319142341614
154,2.400000000000001,66,-108.96607971191406,0.11171961575746536
155,-4.6,62,-52.77410125732422,0.13120146095752716
156,1.6000000000000005,66,-67.33723449707031,0.12424902617931366
157,-0.8999999999999995,65,-64.1444320678711,0.12386756390333176
158,7.2,70,-53.04323959350586,0.11978971213102341
159,-10.299999999999999,59,-76.5198745727539,0.17167040705680847
160,-6.3999999999999995,62,-82.00122833251953,0.17561762034893036
161,-16.1,57,-32.348628997802734,0.17924532294273376
162,-11.2,60,-54.07695007324219,0.1416770964860916
163,-5.1,64,-65.49901580810547,0.1488221436738968
164,-18.9,56,-77.69625854492188,0.06806056201457977
165,-15.7,58,-1.5467637777328491,0.027493298053741455
166,-19.5,56,-0.09189873933792114,0.0023795694578438997
167,-11.2,61,-0.2842668890953064,0.0064875297248363495
168,-7.7,63,-2.7453112602233887,0.03836458921432495
169,-1.7,67,-9.623723983764648,0.044536054134368896
170,-12.2,60,-0.7688853740692139,0.014923885464668274
171,-3.3999999999999995,66,-45.4635124206543,0.17686845362186432
172,1.9000000000000004,67,-102.68415069580078,0.17623582482337952
173,5.500000000000001,69,-131.09799194335938,0.15371710062026978
174,-8.1,60,-46.05863571166992,0.17404648661613464
175,-14.1,57,-53.73980712890625,0.15289515256881714
176,-13.7,56,-99.3653564453125,0.12258613109588623
177,-6.8999999999999995,60,-53.50347900390625,0.1226913258433342
178,-1.9999999999999993,62,-51.80521011352539,0.10521768778562546
179,-8.899999999999999,57,-48.04872512817383,0.09854936599731445
180,-6.699999999999999,58,-84.52655792236328,0.10105027258396149
181,-6.6,60,-78.58793640136719,0.07779855281114578
182,-5.1,64,-44.90645980834961,0.07072524726390839
183,-11.299999999999999,57,-52.018733978271484,0.08070876449346542
184,-10.2,62,-72.99205017089844,0.06970914453268051
185,-15.799999999999999,59,-55.26708221435547,0.06470852345228195
186,-17.4,60,-32.241790771484375,0.059911567717790604
187,-13.399999999999999,64,-65.65859985351562,0.07443321496248245
188,-14.399999999999999,63,-37.458740234375,0.06562376767396927
189,-10.899999999999999,60,-41.24199295043945,0.0692417249083519
190,-17.4,60,-43.168556213378906,0.05738689750432968
191,-17.8,57,-28.051910400390625,0.041199591010808945
192,-17.0,63,-68.39070892333984,0.06914345175027847
193,-13.799999999999999,61,-23.653324127197266,0.05428037792444229
194,-17.599999999999998,65,-39.54800033569336,0.0556018240749836
195,-15.2,70,-28.493709564208984,0.05080440640449524
196,-14.2,71,-56.47097396850586,0.05586696043610573
197,-11.0,69,-60.466678619384766,0.07040738314390182
198,-5.999999999999999,62,-25.15589141845703,0.07488369941711426
199,-5.499999999999999,63,-25.128170013427734,0.07004930078983307
200,-8.899999999999999,57,-26.148601531982422,0.07306833565235138
201,-1.4999999999999993,60,-22.199932098388672,0.06534000486135483
202,-7.8999999999999995,58,-35.93418884277344,0.061107538640499115
203,-6.699999999999999,59,-31.5936222076416,0.062469691038131714
204,-4.499999999999999,60,-64.91572570800781,0.08296067267656326
205,-5.6,58,-48.1053581237793,0.0627259686589241
206,-11.5,55,-28.31031608581543,0.07417096942663193
207,-2.7999999999999994,68,-25.257949829101562,0.06608769297599792
208,-3.1999999999999993,60,-20.56605339050293,0.05860782042145729
209,-2.999999999999999,60,-39.17961883544922,0.06392845511436462
210,-4.1,60,-20.652315139770508,0.05805591121315956
211,-0.5999999999999992,65,-34.36237716674805,0.06308476626873016
212,-11.0,56,-58.83701705932617,0.0748336911201477
213,-4.299999999999999,66,-69.83810424804688,0.0737798884510994
214,-11.299999999999999,57,-25.05837059020996,0.07040846347808838
215,-8.6,61,-39.356876373291016,0.07180281728506088
216,-8.899999999999999,62,-56.357574462890625,0.0531482994556427
217,-6.699999999999999,62,-39.91931915283203,0.06582634896039963
218,-10.5,63,-35.03131103515625,0.06952667981386185
