episode,episode_reward,episode_length,policy_loss,entropy
1,21.3,200,-1.1122660636901855,1.5501140356063843
2,18.9,200,-6.674912929534912,1.059515357017517
3,249.3,200,-13.55604076385498,0.058817047625780106
4,247.3,200,-0.6990351676940918,0.013054927811026573
5,248.2,200,-10.458853721618652,0.09900272637605667
6,221.1,200,17.37429428100586,0.43878647685050964
7,209.5,200,22.549776077270508,0.4099908173084259
8,25.5,81,0.06757332384586334,0.015187862329185009
9,9.0,84,0.00017106602899730206,0.00015547691145911813
10,16.0,81,1.2084912270893255e-07,1.0259644795951317e-06
11,-23.0,84,-3.0507683046465672e-09,1.5258673613516294e-07
12,-5.0,83,-2.4885793425966085e-09,1.2442114893929102e-07
13,21.0,83,-2.3861002063085834e-09,1.1933911991945934e-07
14,-12.0,75,-2.384158204193909e-09,1.1922212195258908e-07
15,22.0,81,-2.385663444570696e-09,1.1923343379294238e-07
16,15.5,83,-2.384324515602998e-09,1.192190666188253e-07
17,39.5,82,-2.385686315165003e-09,1.192114922332621e-07
18,6.5,80,-2.3844006769024872e-09,1.1920928955078125e-07
19,35.5,69,-2.384342057126787e-09,1.1920928955078125e-07
20,18.5,84,-2.384754171913528e-09,1.1920928955078125e-07
21,15.0,84,-2.3839015206306158e-09,1.1920928955078125e-07
22,31.5,81,-2.3847577246272067e-09,1.1920928955078125e-07
23,-9.5,81,-2.384327846272072e-09,1.1920928955078125e-07
24,-21.0,81,-2.382650965415678e-09,1.1920928955078125e-07
25,24.5,84,-2.3845694308022303e-09,1.1920928955078125e-07
26,11.0,79,-2.3849247021701103e-09,1.1920928955078125e-07
27,31.0,82,-2.3849531238795407e-09,1.1920928955078125e-07
28,41.5,84,-2.3856920883247312e-09,1.1920928955078125e-07
29,30.5,84,-2.3836883578098877e-09,1.1920928955078125e-07
30,34.5,81,-2.3846902230673095e-09,1.1920928955078125e-07
31,3.0,82,-2.384647590503164e-09,1.1920928955078125e-07
32,16.0,82,-2.38279307396283e-09,1.1920928955078125e-07
33,31.0,82,-2.3830488693477037e-09,1.1920928955078125e-07
34,18.5,84,-2.385180497554984e-09,1.1920928955078125e-07
35,-1.5,80,-2.3839441531947614e-09,1.1920928955078125e-07
36,39.0,84,-2.383702568664603e-09,1.1920928955078125e-07
37,31.0,81,-2.384803909905031e-09,1.1920928955078125e-07
38,-10.0,82,-2.383844677211755e-09,1.1920928955078125e-07
39,36.5,84,-2.38403652375041e-09,1.1920928955078125e-07
40,6.5,82,-2.383290453877862e-09,1.1920928955078125e-07
41,43.0,84,-2.3851307595634808e-09,1.1920928955078125e-07
42,24.5,82,-2.383702568664603e-09,1.1920928955078125e-07
43,19.5,79,-2.383134134475995e-09,1.1920928955078125e-07
44,28.0,82,-2.3832336104590013e-09,1.1920928955078125e-07
45,-9.5,83,-2.3841431051607742e-09,1.1920928955078125e-07
46,-3.0,80,-2.3841786322975622e-09,1.1920928955078125e-07
47,18.0,83,-2.384010766576239e-09,1.1920928955078125e-07
48,19.5,81,-2.3846546959305215e-09,1.1920928955078125e-07
49,1.5,78,-2.384469954819224e-09,1.1920928955078125e-07
50,27.5,84,-2.384537456379121e-09,1.1920928955078125e-07
51,16.5,82,-2.3857418263162344e-09,1.1920928955078125e-07
52,19.0,81,-2.384555219947515e-09,1.1920928955078125e-07
53,6.0,69,-2.3842781082805686e-09,1.1920928955078125e-07
54,23.5,83,-2.382331221184586e-09,1.1920928955078125e-07
55,24.5,80,-2.3843207408447142e-09,1.1920928955078125e-07
56,4.0,84,-2.3840081020409798e-09,1.1920928955078125e-07
57,2.0,83,-2.3844983765286543e-09,1.1920928955078125e-07
58,40.0,84,-2.3850099672984015e-09,1.1920928955078125e-07
59,12.5,84,-2.3845623253748727e-09,1.1920928955078125e-07
60,-20.0,75,-2.384079156314556e-09,1.1920928955078125e-07
61,33.0,83,-2.384132447019738e-09,1.1920928955078125e-07
62,24.0,84,-2.384057840032483e-09,1.1920928955078125e-07
63,-25.0,79,-2.3824662243043804e-09,1.1920928955078125e-07
64,5.0,83,-2.3836030926815965e-09,1.1920928955078125e-07
65,36.5,84,-2.3833757190061533e-09,1.1920928955078125e-07
66,25.5,84,-2.3849957564436863e-09,1.1920928955078125e-07
67,5.0,84,-2.38385888806647e-09,1.1920928955078125e-07
68,2.5,81,-2.3842106067206714e-09,1.1920928955078125e-07
69,-22.0,81,-2.3828783390911212e-09,1.1920928955078125e-07
70,4.5,81,-2.38350361669859e-09,1.1920928955078125e-07
71,28.0,81,-2.3846760122125943e-09,1.1920928955078125e-07
72,12.5,83,-2.382935182509982e-09,1.1920928955078125e-07
73,-11.5,80,-2.3842425811437806e-09,1.1920928955078125e-07
74,-12.0,79,-2.3843562679815022e-09,1.1920928955078125e-07
75,-19.5,83,-2.3845410090928e-09,1.1920928955078125e-07
76,13.5,82,-2.3838659934938278e-09,1.1920928955078125e-07
77,-3.0,82,-2.3842283702890654e-09,1.1920928955078125e-07
78,19.0,83,-2.385393660375712e-09,1.1920928955078125e-07
