episode,episode_reward,episode_length,policy_loss,entropy
1,219.2,200,46.69164276123047,0.40131157636642456
2,176.5,200,29.683908462524414,0.7066057324409485
3,200.8,200,46.78156280517578,0.6416217684745789
4,93.8,200,-3.004350423812866,0.8584903478622437
5,177.3,200,1.2221623659133911,0.8442233800888062
6,106.1,200,-7.818978786468506,0.9645912647247314
7,151.6,200,-17.20235252380371,0.6455675363540649
8,204.4,200,29.99941635131836,0.5537775158882141
9,181.4,200,-13.893647193908691,0.40456658601760864
10,191.5,200,1.0850058794021606,0.33709967136383057
11,242.4,200,20.179170608520508,0.21337680518627167
12,244.7,200,13.73880672454834,0.13703732192516327
13,126.7,200,3.024172067642212,0.4051445722579956
14,191.4,200,18.91126251220703,0.18734769523143768
15,246.6,200,8.323587417602539,0.08124873042106628
16,193.0,200,4.4082350730896,0.22961077094078064
17,246.4,200,12.723196029663086,0.12554682791233063
18,243.9,200,17.431400299072266,0.1455536037683487
19,243.1,200,13.787710189819336,0.1080266535282135
20,247.2,200,3.866118907928467,0.08290102332830429
21,242.8,200,21.872154235839844,0.1139899268746376
22,246.9,200,6.345518589019775,0.06659494340419769
23,245.2,200,10.594010353088379,0.12799155712127686
24,247.1,200,2.9976022243499756,0.06243251636624336
25,247.2,200,2.2994163036346436,0.04860558360815048
26,247.3,200,0.7226177453994751,0.030946964398026466
27,247.3,200,0.44732287526130676,0.021893272176384926
28,247.3,200,0.5735255479812622,0.025086360052227974
29,247.3,200,0.08977282047271729,0.006732813082635403
30,247.2,200,2.0175392627716064,0.008168983273208141
31,247.3,200,0.02104078233242035,0.0020141955465078354
32,247.3,200,0.02043967694044113,0.0020856785122305155
33,246.5,200,9.685925483703613,0.002595291705802083
34,247.3,200,0.00380085501819849,0.0005136709660291672
35,247.3,200,0.0011993509251624346,0.00015710698789916933
36,247.3,200,0.0016335634281858802,0.00024211234995163977
37,247.3,200,0.0012656295439228415,0.00021134401322342455
38,247.3,200,0.0004779217124450952,8.896594954421744e-05
39,247.3,200,0.0010530332801863551,0.00018895517860073596
40,247.3,200,0.0007676674867980182,0.0001419100008206442
41,247.3,200,0.00019057873578276485,3.7412213714560494e-05
42,247.3,200,0.0008534733788110316,0.00012047462223563343
43,247.3,200,0.0001268518972210586,2.6348638130002655e-05
44,247.3,200,0.0004120923113077879,7.240738341351971e-05
45,247.3,200,0.0002221191389253363,4.6519096940755844e-05
46,247.3,200,0.0001472469448344782,2.8072739951312542e-05
47,247.3,200,8.758662443142384e-05,1.9577923012548126e-05
48,247.3,200,0.00017633842071518302,3.812772411038168e-05
49,247.3,200,0.00010157862561754882,2.127525112882722e-05
50,247.3,200,9.837985999183729e-05,1.9545224859029986e-05
51,247.3,200,3.5156426747562364e-05,9.099505405174568e-06
52,247.3,200,1.9404151316848584e-05,6.157780717330752e-06
53,247.3,200,0.0002900883846450597,4.5397137000691146e-05
54,247.3,200,4.041706779389642e-05,8.777730727160815e-06
55,247.3,200,7.448859832948074e-05,1.6880763723747805e-05
56,247.3,200,6.761164968338562e-06,2.3891655018815072e-06
57,247.3,200,4.880583946942352e-05,1.180961771751754e-05
58,247.3,200,1.1391829502827022e-05,3.896871930919588e-06
59,247.3,200,0.00015161585179157555,3.165936141158454e-05
60,247.3,200,5.985576717648655e-05,1.311143842031015e-05
61,247.3,200,5.1335377065697685e-05,1.0136493074242026e-05
62,247.3,200,1.6174355550901964e-05,4.796833309228532e-06
63,247.3,200,1.9585859263315797e-05,5.703223450836958e-06
64,247.3,200,1.7802427464630455e-05,4.438649739313405e-06
65,247.3,200,5.130027057020925e-05,1.126564347941894e-05
66,247.3,200,2.401175515842624e-05,7.023618763923878e-06
67,247.3,200,1.620459988771472e-05,4.336176971264649e-06
68,247.3,200,3.652435771073215e-05,9.768340532900766e-06
69,247.3,200,1.2122776752221398e-05,3.8599873732891865e-06
